Perfil,Link do perfil,Perfil Antivax ou provax?,Perfil Conspiracionista?,Perfil Negacionista?,Categoria (profissão),Categoria (profissão) do perfil?,Link do post,Conteúdo do post,Post Antivax ou provax?,Post Conspiracionista?,Post Negacionista?
despertandoleosoficial,https://www.instagram.com/despertandoleoesoficial/,1,1,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/p/DGLD-gJoaWb/,Karina Michelin: Livro revela dados sobre efeitos adversos da vacina,1,0,1
danielcabral_01,https://www.instagram.com/danielcabral_01/,1,1,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/reel/DFA8oKtRFCM/?utm_source=ig_web_copy_link,Os não vacinados são os verdadeiros super-heróis,1,0,1
despertos_damatrix,https://www.instagram.com/despertos_damatrix/#,1,1,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/reel/DFfRLk8uSsc/?utm_source=ig_web_copy_link,Quem tomou a vacina pode ter mais chances de contrair a covid-19,1,0,1
elidespertoo,https://www.instagram.com/elidespertoo/#,1,1,1,,,https://www.instagram.com/reel/DFtux9ipYKx/?utm_source=ig_web_copy_link,Ivermectina poderia ter salvo todos infectados por covid-19,1,0,1
johnkagesamuraijk,https://www.instagram.com/johnkagesamuraijk/#,1,1,1,Médico oncologista e radiologista,0,https://www.instagram.com/reel/DFU_dFyOtVK/?utm_source=ig_web_copy_link,Vacina da covid-19 está causando câncer,1,1,1
vacinas_noticias,https://www.instagram.com/vacinas_noticias/,1,0,1,Jornalista; Escritora,0,https://www.instagram.com/reel/DF85aG7pt87/?utm_source=ig_web_copy_link,Pfizer: um ataque às mulheres e aos bebês,1,0,1
andresousa_medico,https://www.instagram.com/andresousa_medico/,1,0,1, Médico oftalmologista,1,https://www.instagram.com/p/CbGDkktugTa/?utm_source=ig_web_copy_link,Sem vacina covid mata 26 vezes mais ,0,0,0
arleneferrarigraf,https://www.instagram.com/arleneferrarigraf/,1,0,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/p/DFOzpW-syNa/?utm_source=ig_web_copy_link,Aumento alarmante de caso de dengue e pouca adesão às vacinas,0,0,0
draemiliaserra ,https://www.instagram.com/draemiliaserra,1,1,1,Médica investigativa,1,https://www.instagram.com/p/DGGt6rfvCz1/?utm_source=ig_web_copy_link,Pandemia como a maior ditadura sanistarista da história,1,0,1
profjoao.alberto,https://www.instagram.com/profjoao.alberto,1,0,1,Criador(a) de conteúdo digital; Advogado; Professor; Pastor; Jornalista,1,https://www.instagram.com/p/DEFTwYrCs0j/?utm_source=ig_web_copy_link,O aumento de caso de coqueluche evidenciam a importância da vacinação em gestantes e e crianças,0,0,0
edubastosmlima,https://www.instagram.com/edubastosmlima/,1,0,1,Criador(a) de conteúdo digital; Advogado; Geógrafo,1,https://www.instagram.com/reel/C8aZti0sq7W/?utm_source=ig_web_copy_linkk,"O deputado exige transparência quanto aos efeitos colaterais da vacina da Covid-19 — o marquei como ""provax"" pois ele usa esses efeitos da vacina da Covid-19 como causa da desconfiança em outras vacinas, que não parece menosprezar.",1,0,1
dr.rodrigo.martins.soares,https://www.instagram.com/dr.rodrigo.martins.soares/,1,0,1,Advogado,1,https://www.instagram.com/reel/DCFqYt0t9DD/?utm_source=ig_web_copy_link,"Outro deputado, questionando a mudança das vacinas aplicadas tradicionalmente em formato de gotas para injeção — concebendo o movimento como uma parceria da ""Fiocruz ao laboratório privado"" (como não citou a ""indústria farmacêutica"", a ""Big pharma"", não considerei conspiracionista",1,0,1
drfranciscocardoso,https://www.instagram.com/drfranciscocardoso79,1,0,1,Criador(a) de conteúdo digital; Médico infectologista,1,https://www.instagram.com/reel/DFsmPGdpref/?utm_source=ig_web_copy_link,"Uma página de memes de farmácia, quesitonando a ideia que vacinas causam autismo.",1,1,1
despertepraverdade,https://www.instagram.com/despertepraverdade/,1,1,1,,,,,,,
zumbizandooficial,https://www.instagram.com/zumbizandoficial/,1,1,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/reel/C4tIehprPW-/?utm_source=ig_web_copy_link,"Um empreendedor denunciando a ""perseguição"" do ex-presidente dada as ilegalidades dos inquéritos ""sobre cartão de vacinas de Bolsonaro"".",1,0,0
despertoeli,https://www.instagram.com/despertoeli/,1,1,1,,,,,,,
doutoraraissasoaresoficial,https://www.instagram.com/doutoraraissasoaresoficial/,1,1,1,Médica clínica,1,https://www.instagram.com/p/DE74hcYvTVU,"Denúncia da ""queima"" de medicamentos pelo governo Lula — não encontrei nada antivax no perfil.",0,0,0
mae_do_bruno,www.instagram.com/mae_do_bruno_,1,0,1,,,,,,,
karinamichelin,https://www.instagram.com/karinamichelin/,1,1,1,Jornalista,1,https://www.instagram.com/p/DFy8wgaNcRw,Astrazeneca admite efeitos colaterais da vacina da Covid-19.,1,0,1
avozdopovobr,https://www.instagram.com/avozdopovo.br/?hl=en,1,0,1,,,,,,,
zorkotaida,https://www.instagram.com/zorkotaida?igsh=MWY2MWx1NjA4MjRvYg==,1,1,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/reel/DGDrKyXMZCo/?utm_source=ig_web_copy_link,"Formas de eliminar doses da Pfizer. No perfil do doutor temos o seguinte, inclusive: ""Síndrome pós-covid | Médico | Maringá Paraná",1,0,1
drdorivalriccijr,https://www.instagram.com/drdorivalriccijr/,1,1,1,Médico ciurgião geral,1,https://www.instagram.com/reel/DGDrKyXMZCo/?utm_source=ig_web_copy_link,"Formas de eliminar doses da Pfizer. No perfil do doutor temos o seguinte, inclusive: ""Síndrome pós-covid | Médico | Maringá Paraná",1,0,1
